"name";"link";"ingredients"
"Porretærte";"https://www.valdemarsro.dk/porretaerte/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Grøntsagswok Med Cashew Og Kokosnudler";"https://www.valdemarsro.dk/groentsagswok/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Teriyaki Kylling Med Ris Og Grøntsage";"https://www.valdemarsro.dk/teriyaki-kylling/";"[{""name"": ""kylling"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Pasta Arrabiata";"https://www.valdemarsro.dk/pasta-arrabiata/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Vegetar Bolognese";"https://www.valdemarsro.dk/vegetar-bolognese/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Saftige Kyllingedeller I Spidskålswraps";"https://www.valdemarsro.dk/kyllingedeller-spidskaalswraps/";"[{""name"": ""beef"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Pasta Med Svampe";"https://www.valdemarsro.dk/pasta-med-svampe/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Ærtesuppe";"https://www.valdemarsro.dk/aertesuppe/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Fiskefrikadeller Med Remoulade Og Råkostsalat";"https://www.valdemarsro.dk/fiskefrikadeller/";"[{""name"": ""pineapple"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Risotto Med Svampe";"https://www.valdemarsro.dk/risotto-med-svampe/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Hjemmelavede Burgere";"https://www.valdemarsro.dk/hjemmelavede-burgere/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Lasagne";"https://www.valdemarsro.dk/lasagne/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Laks I Ovn";"https://www.arla.dk/opskrifter/laks-i-ovn/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Æggekage";"https://www.arla.dk/opskrifter/aggekage/";"[{""name"": ""kylling"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Tortellini Med Bacon Og Svampe";"https://madenimitliv.dk/2018/11/tortellini-med-bacon-og-svampe/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Pastasalat Med Avocadocreme";"https://madenimitliv.dk/2017/08/pastasalat-avocadocreme/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Pasta I Fad Med Kylling Og Broccoli";"https://madenimitliv.dk/2016/10/pasta-fad-kylling-broccoli/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Spinatpandekager Med Skinke Og Ost";"https://madenimitliv.dk/2014/04/spinatpandekager-med-skinke-og-ost-2/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Broccolitærte Med Bacon";"https://madenimitliv.dk/2013/10/den-nemmeste-broccolitaerte-med-bacon/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Cremet Kartoffelfad Med Ost Og Forårsløg";"https://madenimitliv.dk/2016/05/cremet-kartoffelfad-ost-foraarsloeg/";"[{""name"": ""cheese"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Spinatlasagne Med Bechamel";"https://madenimitliv.dk/2016/06/spinatlasagne-bechamelsauce/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Dhal Med Linser, Kartofler Og Blomkål";"https://madenimitliv.dk/2016/10/dhal-linser-kartofler-blomkaal/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Kylling Med Timian Og Citron I Stegeso";"https://madenimitliv.dk/2017/03/kylling-timian-citron-stegeso/";"[{""name"": ""potatos"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Tortellini I Fad Med Broccoli";"https://madenimitliv.dk/2017/09/tortellini-fad-broccoli-mornaysauce/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Spansk Tortilla Med Kartofler";"https://madenimitliv.dk/2018/06/spansk-tortilla-med-kartofler/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Kylling Med Cashew";"https://madenimitliv.dk/2022/09/kylling-cashew/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 9000}]"
